Teks_Manado,Teks_Indo
Torang so beking kunci rumah cepat-cepat sto.,Kami sudah membuat kunci rumah dengan cepat.
Dia so makang makanan pas ujang dang.,Dia sudah makan makanan saat hujan.
Ngoni so jual tugas skripsi di Megamas sto.,Kalian sudah menjual tugas skripsi di Megamas.
Dia mo pigi cari oto cepat-cepat jo.,Dia akan pergi mencari mobil dengan cepat.
Dorang mo pigi cari baju baru kemarin sore dang.,Mereka akan pergi mencari baju baru kemarin sore.
Mama so beking makanan tadi pagi sto.,Ibu sudah membuat makanan tadi pagi.
Ngana so jual doi di Megamas sto.,Kamu sudah menjual uang di Megamas.
Maitua so makang doi pas ujang jo.,Pacar (pr) sudah makan uang saat hujan.
Kita nyanda suka kunci rumah di Megamas dang.,Saya tidak suka kunci rumah di Megamas.
Ngoni nyanda suka laporan di Megamas jo.,Kalian tidak suka laporan di Megamas.
Ngoni mo pigi cari hp di Megamas dang.,Kalian akan pergi mencari handphone di Megamas.
Maitua so jual baju baru pas ujang kang.,Pacar (pr) sudah menjual baju baru saat hujan.
Ngana nyanda suka oto tadi pagi dang.,Kamu tidak suka mobil tadi pagi.
Ngana so beking doi cepat-cepat sto.,Kamu sudah membuat uang dengan cepat.
Dorang mo pigi cari oto di Megamas kote.,Mereka akan pergi mencari mobil di Megamas.
Torang so jual kunci rumah pas ujang sto.,Kami sudah menjual kunci rumah saat hujan.
Torang so jual kunci rumah di kampus kote.,Kami sudah menjual kunci rumah di kampus.
Tu dosen nyanda suka laporan pas ujang jo.,Dosen itu tidak suka laporan saat hujan.
Mama ada lia hp pas ujang to.,Ibu melihat handphone saat hujan.
Mama so beking hp tadi pagi dang.,Ibu sudah membuat handphone tadi pagi.
Torang nyanda suka kunci rumah di Megamas jo.,Kami tidak suka kunci rumah di Megamas.
Dorang so beking laporan kemarin sore neh.,Mereka sudah membuat laporan kemarin sore.
Mama mo pigi cari doi di Megamas jo.,Ibu akan pergi mencari uang di Megamas.
Tu dosen so beking kunci rumah di Megamas neh.,Dosen itu sudah membuat kunci rumah di Megamas.
Dia so makang oto kemarin sore kote.,Dia sudah makan mobil kemarin sore.
Ngana nyanda suka doi kemarin sore kang.,Kamu tidak suka uang kemarin sore.
Maitua ada lia doi diam-diam neh.,Pacar (pr) melihat uang diam-diam.
Mama so makang baju baru diam-diam to.,Ibu sudah makan baju baru diam-diam.
Dorang so beking baju baru pas ujang dang.,Mereka sudah membuat baju baru saat hujan.
Paitua so makang doi diam-diam dang.,Pacar (lk) sudah makan uang diam-diam.
Kita so beking hp kemarin sore kang.,Saya sudah membuat handphone kemarin sore.
Ngoni so jual baju baru tadi pagi to.,Kalian sudah menjual baju baru tadi pagi.
Mama nyanda suka doi diam-diam dang.,Ibu tidak suka uang diam-diam.
Torang so jual laporan kemarin sore dang.,Kami sudah menjual laporan kemarin sore.
Maitua ada lia kunci rumah kemarin sore neh.,Pacar (pr) melihat kunci rumah kemarin sore.
Dia so beking laporan cepat-cepat sto.,Dia sudah membuat laporan dengan cepat.
Ngana so beking makanan diam-diam dang.,Kamu sudah membuat makanan diam-diam.
Tu dosen so beking doi kemarin sore kote.,Dosen itu sudah membuat uang kemarin sore.
Ngoni so makang doi tadi pagi sto.,Kalian sudah makan uang tadi pagi.
Dia ba tele kunci rumah cepat-cepat kang.,Dia menelepon kunci rumah dengan cepat.
Tu dosen so makang doi di Megamas to.,Dosen itu sudah makan uang di Megamas.
Mama ada lia kunci rumah di Megamas neh.,Ibu melihat kunci rumah di Megamas.
Kita so beking hp tadi pagi jo.,Saya sudah membuat handphone tadi pagi.
